Student_ID,Age,Gender,First_Generation,Family_Income,Household_Size,Housing_Status,Scholarship,Tuition_Base,Semester,Course_Load,Work_Hours,Emergency_Expense,Sem_GPA,Attendance,LMS_Logins,Advising_Visits,Failed_Courses,Financial_Stress,Target_Dropout_Next_Sem,End_of_Semester_Status,Censored
STU_00001,18,Female,0,15000.0,2,Off-Campus,0,15000,1,15,18.4,0.0,2.85,85.8,67.0,0,0,1.7,0,Enrolled,0
STU_00001,18,Female,0,15000.0,2,Off-Campus,0,15000,2,15,23.1,0.0,2.73,81.0,89.0,1,0,3.1,0,Enrolled,0
STU_00001,18,Female,0,15000.0,2,Off-Campus,0,15000,3,15,19.1,0.0,2.6,78.3,60.0,0,2,3.0,0,Enrolled,0
STU_00001,18,Female,0,15000.0,2,Off-Campus,0,15000,4,15,26.5,0.0,2.34,77.2,59.0,2,3,5.1,0,Enrolled,0
STU_00001,18,Female,0,15000.0,2,Off-Campus,0,15000,5,18,25.4,0.0,1.9,79.3,53.0,1,2,3.6,0,Enrolled,1
STU_00002,20,Male,1,80000.0,5,On-Campus,1,25000,1,12,0.1,0.0,2.38,84.2,71.0,1,1,1.4,0,Enrolled,0
STU_00002,20,Male,1,80000.0,5,On-Campus,1,25000,2,12,4.1,0.0,2.36,82.0,63.0,0,1,1.0,0,Enrolled,1
STU_00003,24,Male,1,136000.0,3,On-Campus,0,15000,1,15,7.3,0.0,3.0,90.8,82.0,0,1,1.0,0,Enrolled,0
STU_00003,24,Male,1,,3,On-Campus,0,15000,2,15,13.9,0.0,2.97,87.6,80.0,1,0,1.2,0,Enrolled,0
STU_00003,24,Male,1,136000.0,3,On-Campus,0,15000,3,15,3.3,0.0,2.78,87.7,57.0,0,1,1.0,0,Enrolled,0
STU_00003,24,Male,1,136000.0,3,On-Campus,0,15000,4,15,7.8,0.0,2.6,87.1,69.0,1,0,2.1,0,Enrolled,1
STU_00004,19,Male,1,24000.0,2,On-Campus,0,15000,1,12,28.9,0.0,2.72,85.8,62.0,0,1,3.3,1,Dropped_Out,0
STU_00005,18,Female,0,30000.0,3,Off-Campus,0,45000,1,15,18.1,0.0,3.08,91.1,73.0,0,0,5.5,0,Enrolled,0
STU_00005,18,Female,0,30000.0,3,Off-Campus,0,45000,2,18,19.5,0.0,2.58,86.5,61.0,0,1,7.6,0,Enrolled,0
STU_00005,18,Female,0,30000.0,3,Off-Campus,0,45000,3,15,18.1,0.0,2.37,88.7,60.0,1,2,5.4,0,Enrolled,1
STU_00006,21,Female,1,50000.0,4,On-Campus,0,25000,1,15,29.4,0.0,2.47,85.6,81.0,1,2,3.6,1,Dropped_Out,0
STU_00007,18,Female,0,114000.0,4,Off-Campus,1,25000,1,12,24.6,0.0,2.89,80.8,70.0,0,1,1.0,0,Enrolled,0
STU_00007,18,Female,0,114000.0,4,Off-Campus,1,25000,2,15,20.5,0.0,2.86,79.3,60.0,0,1,1.5,0,Enrolled,0
STU_00007,18,Female,0,114000.0,4,Off-Campus,1,25000,3,15,23.1,0.0,2.65,78.3,64.0,0,2,1.0,0,Enrolled,0
STU_00007,18,Female,0,114000.0,4,Off-Campus,1,25000,4,18,27.6,0.0,2.22,71.5,55.0,0,2,1.0,0,Enrolled,0
STU_00007,18,Female,0,114000.0,4,Off-Campus,1,25000,5,15,20.8,0.0,2.23,72.4,68.0,2,1,1.6,0,Enrolled,0
STU_00007,18,Female,0,114000.0,4,Off-Campus,1,25000,6,15,17.4,0.0,2.3,73.4,95.0,1,0,2.4,0,Enrolled,0
STU_00007,18,Female,0,114000.0,4,Off-Campus,1,25000,7,12,26.0,0.0,2.38,79.5,62.0,1,0,1.1,0,Enrolled,1
STU_00008,18,Male,1,64000.0,2,With Parents,0,25000,1,12,5.3,0.0,2.57,84.3,66.0,1,1,2.2,0,Enrolled,0
STU_00008,18,Male,1,64000.0,2,With Parents,0,25000,2,12,6.7,0.0,2.72,84.2,69.0,0,1,1.0,1,Dropped_Out,0
STU_00009,17,Male,0,52000.0,4,Off-Campus,0,25000,1,15,0.0,0.0,2.69,89.4,44.0,0,1,4.1,0,Enrolled,0
STU_00009,17,Male,0,52000.0,4,Off-Campus,0,25000,2,12,0.0,0.0,2.59,86.8,57.0,1,0,2.4,0,Enrolled,0
STU_00009,17,Male,0,52000.0,4,Off-Campus,0,25000,3,15,1.0,0.0,2.42,88.0,83.0,2,0,4.4,0,Enrolled,0
